"";"Category";"Description";"Nutrient_Bank_Number";"Carbohydrate";"Choline";"Niacin";"Protein";"Riboflavin";"Selenium";"Sugar_Total";"Thiamin";"Water";"Fat__Monosaturated_Fat";"Fat__Polysaturated_Fat";"Fat__Saturated_Fat";"Fat__Total_Lipid";"Minerals__Calcium";"Minerals__Copper";"Minerals__Iron";"Minerals__Magnesium";"Minerals__Phosphorus";"Minerals__Potassium";"Minerals__Sodium";"Minerals__Zinc";"Vitamins__Vitamin_A";"Vitamins__Vitamin_B6";"Vitamins__Vitamin_E";"Vitamins__Vitamin_K"
"339";"Squid";"Squid, baked or broiled, no added fat";26213121;3,88;79,9;2,538;19,14;0,405;55;0,04;0,022;72,74;0,131;0,644;0,44;1,7;40;2,322;0,84;41;271;304;368;1,88;10;0,066;1,48;0
"340";"Stewed dried beef";"Stewed dried beef, Puerto Rican style";27118130;3,88;5,3;2,814;17,69;0,109;18,2;2,58;0,041;52,81;7,444;7,62;3,215;19,15;16;0,084;1,64;16;113;219;1755;2,78;8;0,158;2,97;6
"341";"Seafood dip";"Seafood dip";14620130;3,89;30,2;0,132;5,97;0,09;10,7;1,95;0,018;54,56;7,54;15,243;8,288;33,25;117;0,058;0,44;12;105;93;708;0,73;61;0,04;1,39;54,6
"342";"Chard";"Chard, cooked";72104220;3,9;19;0,396;1,88;0,089;0,9;1,15;0,038;89,28;1,044;0,906;0,806;2,94;54;0,186;1,88;84;48;395;353;0,38;314;0,116;2,28;866,5
"343";"Cheese";"Cheese, processed, with vegetables";14410600;3,91;20,4;0,097;14,3;0,323;17,8;1,97;0,025;46,09;7,638;1,25;18,476;32,13;393;0,027;0,21;18;275;105;922;2,04;300;0,07;0,79;2,5
"344";"Egg salad";"Egg salad, made with mayonnaise-type salad dressing";32103020;3,93;235,1;0,051;10,07;0,411;24,4;2,95;0,054;71,56;4,262;3,63;3,281;12,83;41;0,013;0,96;8;139;107;385;0,84;119;0,097;1,13;8,9
"345";"Queso cotija";"Queso cotija";14134000;3,97;15,4;0,114;20;0,486;17,7;0;0,029;38;8,333;1,187;17,5;30;800;0,238;0;38;729;125;1400;3,87;229;0,049;0,25;1,9
"346";"Roe";"Roe, sturgeon";26211100;4;490,9;0,12;24,6;0,62;65,5;0;0,19;47,5;4,631;7,405;4,06;17,9;275;0,11;11,88;300;356;181;1500;0,95;271;0,32;1,89;0,6
"347";"Spinach";"Spinach, fresh, cooked with oil";72125217;4,13;22;0,783;3,26;0,204;1,1;0,48;0,08;86,45;1,442;1,595;0,539;3,86;113;0,148;3,09;90;56;636;222;0,6;507;0,211;2,71;554
"348";"Spinach";"Spinach, NS as to form, cooked";72125220;4,14;22,3;0,784;3,27;0,205;1,1;0,48;0,08;86,84;1,108;1,1;0,92;3,43;113;0,148;3,09;90;56;636;234;0,6;520;0,23;2,66;552,7
"349";"Spinach";"Spinach, fresh, cooked, fat added, NS as to fat type";72125221;4,14;22,3;0,784;3,27;0,205;1,1;0,48;0,08;86,84;1,108;1,1;0,92;3,43;113;0,148;3,09;90;56;636;234;0,6;520;0,23;2,66;552,7
